Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00147,="23:19:18,408",0x7CB4A90,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00148,="23:19:19,400",0x7CB7193,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00149,="23:19:20,389",0x7CB98AB,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00150,="23:19:21,408",0x7CBBFAF,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00151,="23:19:23,389",0x7CC0DB6,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00152,="23:19:24,410",0x7CC34CE,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00153,="23:19:27,619",0x7CCB1B0,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00154,="23:19:28,640",0x7CCD98F,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00155,="23:19:29,628",0x7CD0093,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00156,="23:19:30,619",0x7CD2797,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00157,="23:19:31,639",0x7CD4E9A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00158,="23:19:32,629",0x7CD75B2,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00159,="23:19:33,619",0x7CD9CB5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00160,="23:19:34,639",0x7CDC3B9,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00161,="23:19:35,629",0x7CDEABD,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00162,="23:19:36,618",0x7CE11D4,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00163,="23:19:37,639",0x7CE38D8,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00164,="23:19:38,629",0x7CE5FDC,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00165,="23:19:41,839",0x7CEDCFA,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00166,="23:19:48,860",0x7CFEEDB,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00167,="23:19:49,849",0x7D015DF,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00168,="23:19:50,869",0x7D03CE2,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00169,="23:19:51,859",0x7D063E6,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00170,="23:19:52,849",0x7D08AFE,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00171,="23:19:53,869",0x7D0B201,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00172,="23:19:54,860",0x7D0D905,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
